"index","product_name","avg_discount","total_profit","profit_status"
"0","Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac","0.8","-4.466","Loss"
"1","Chromcraft Training Table, Adjustable Height","0.8","-87.736","Loss"
"2","GBC VeloBinder Electric Binding Machine","0.725","-411.332","Loss"
"3","Plantronics Single Ear Headset","0.7","-21.945","Loss"
"4","Epson Perfection V600 Photo Scanner","0.7","-172.4925","Loss"
"5","Zebra GK420t Direct Thermal/Thermal Transfer Printer","0.7","-938.28","Loss"
"6","Okidata B401 Printer","0.7","-251.9874","Loss"
"7","Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner","0.7","-71.3958","Loss"
"8","Lexmark MarkNet N8150 Wireless Print Server","0.7","-506.457","Loss"
"9","Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner","0.7","-319.1916","Loss"
"10","Cisco 8961 IP Phone Charcoal","0.7","-164.9538","Loss"
"11","Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled","0.7","-190.8522","Loss"
"12","Premier Elliptical Ring Binder, Black","0.6444444444","-201.5128","Loss"
"13","Wilson Jones Custom Binder Spines & Labels","0.6285714286","-19.6928","Loss"
"14","Acco D-Ring Binder w/DublLock","0.6222222222","-102.8378","Loss"
"15","Avery Durable Slant Ring Binders","0.62","-23.76","Loss"
"16","Avery Triangle Shaped Sheet Lifters, Black, 2/Pack","0.6166666667","-4.92","Loss"
"17","Avery Hidden Tab Dividers for Binding Systems","0.6142857143","-7.0328","Loss"
"18","Eldon Executive Woodline II Cherry Finish Desk Accessories","0.6","-78.5088","Loss"
"19","Insertable Tab Indexes For Data Binders","0.6","-4.8336","Loss"
"20","Euro Pro Shark Stick Mini Vacuum","0.6","-325.6332","Loss"
"21","Acco Economy Flexible Poly Round Ring Binder","0.6","-5.742","Loss"
"22","Bevis Training Table, with Bottom Storage","0.6","-482.46","Loss"
"23","Chromcraft Coffee Table, Fully Assembled","0.5875","-1960.696","Loss"
"24","Lesro Training Table, Rectangular","0.582","-2581.2834","Loss"
"25","Avery Reinforcements for Hole-Punch Pages","0.575","-16.137","Loss"
"26","Insertable Tab Post Binder Dividers","0.575","-39.699","Loss"
"27","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red","0.5625","-13.9065","Loss"
"28","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""","0.55","-0.1614","Loss"
"29","GBC VeloBinder Strips","0.55","-23.808","Loss"
"30","Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop","0.55","-1057.23","Loss"
"31","GBC Linen Binding Covers","0.55","-82.4068","Loss"
"32","Accohide Poly Flexible Ring Binders","0.5375","-19.822","Loss"
"33","Acco Suede Grain Vinyl Round Ring Binder","0.5375","-4.8928","Loss"
"34","Avery Self-Adhesive Photo Pockets for Polaroid Photos","0.5363636364","-2.1792","Loss"
"35","Cubify CubeX 3D Printer Double Head Print","0.5333333333","-8879.9704","Loss"
"36","Angle-D Ring Binders","0.5333333333","-1.9692","Loss"
"37","Avery Durable Poly Binders","0.5333333333","-15.5946","Loss"
"38","Mead 1st Gear 2"" Zipper Binder, Asst. Colors","0.5333333333","-3.891","Loss"
"39","Lesro Coffee Table, Fully Assembled","0.5333333333","-474.162","Loss"
"40","Avery Recycled Flexi-View Covers for Binding Systems","0.5285714286","-69.5702","Loss"
"41","GBC Ibimaster 500 Manual ProClick Binding System","0.5222222222","760.98","Profit"
"42","3.6 Cubic Foot Counter Height Office Refrigerator","0.52","-872.0752","Loss"
"43","Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets","0.5125","-82.176","Loss"
"44","Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors","0.51","-113.2606","Loss"
"45","GBC White Gloss Covers, Plain Front","0.5","31.4216","Profit"
"46","Hoover Commercial Lightweight Upright Vacuum","0.5","-2.5056","Loss"
"47","Heavy-Duty E-Z-D Binders","0.5","9.0553","Profit"
"48","Okidata MB491 Multifunction Printer","0.5","-882.1188","Loss"
"49","Storex DuraTech Recycled Plastic Frosted Binders","0.5","11.448","Profit"
"50","Hon Conference Table, with Bottom Storage","0.5","-820.148","Loss"
"51","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets","0.5","85.2384","Profit"
"52","GBC Standard Plastic Binding Systems Combs","0.5","-2.9205","Loss"
"53","GBC Wire Binding Strips","0.5","-18.4092","Loss"
"54","Cisco CP-7937G Unified IP Conference Station Phone","0.5","-55.656","Loss"
"55","XtraLife ClearVue Slant-D Ring Binders by Cardinal","0.5","-13.328","Loss"
"56","Cardinal Hold-It CD Pocket","0.5","-12.4488","Loss"
"57","UniKeep View Case Binders","0.5","-5.4768","Loss"
"58","Cisco TelePresence System EX90 Videoconferencing Unit","0.5","-1811.0784","Loss"
"59","GBC ProClick 150 Presentation Binding System","0.5","-461.3308","Loss"
"60","Penpower WorldCard Pro Card Scanner","0.5","-1.8295","Loss"
"61","Cubify CubeX 3D Printer Triple Head Print","0.5","-3839.9904","Loss"
"62","Wilson Jones 1"" Hanging DublLock Ring Binders","0.5","-8.5536","Loss"
"63","Lesro Round Table, Adjustable Height","0.4925","-2384.796","Loss"
"64","GBC Instant Report Kit","0.4923076923","3.235","Profit"
"65","GBC Standard Recycled Report Covers, Clear Plastic Sheets","0.4916666667","-27.1656","Loss"
"66","Chromcraft Training Table, Rectangular","0.49","-1108.2094","Loss"
"67","Avery Durable Slant Ring Binders With Label Holder","0.4888888889","12.4564","Profit"
"68","Barricks Computer Table, Adjustable Height","0.4875","-876.5715","Loss"
"69","Lock-Up Easel 'Spel-Binder'","0.4857142857","39.3714","Profit"
"70","BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables","0.4833333333","-1148.4375","Loss"
"71","GBC Standard Therm-A-Bind Covers","0.4833333333","8.4728","Profit"
"72","GBC Instant Index System for Binding Systems","0.48","-12.432","Loss"
"73","Universal Recycled Hanging Pressboard Report Binders, Letter Size","0.48","8.638","Profit"
"74","Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders","0.475","8.67","Profit"
"75","Bevis Rectangular Conference Tables","0.475","-586.8396","Loss"
"76","Round Ring Binders","0.4666666667","-0.9152","Loss"
"77","Storex Flexible Poly Binders with Double Pockets","0.4666666667","-2.0064","Loss"
"78","StarTech Receipt Printer, Red","0.4666666667","-361.859","Loss"
"79","Lesro Round Table, Fully Assembled","0.464","-154.3092","Loss"
"80","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue","0.4636363636","18.4125","Profit"
"81","GBC VeloBind Cover Sets","0.4636363636","18.528","Profit"
"82","Barricks Coffee Table, Fully Assembled","0.4616666667","-885.0759","Loss"
"83","Large Capacity Hanging Post Binders","0.46","-19.461","Loss"
"84","Cardinal HOLDit! Binder Insert Strips,Extra Strips","0.4555555556","4.3677","Profit"
"85","Lesro Wood Table, Fully Assembled","0.4522222222","-1558.957","Loss"
"86","Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room","0.45","-177.2232","Loss"
"87","GBC DocuBind P400 Electric Binding System","0.45","-1878.1662","Loss"
"88","Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""","0.45","-0.6986","Loss"
"89","Binder Posts","0.45","7.8064","Profit"
"90","Lesro Coffee Table, Rectangular","0.45","-793.677","Loss"
"91","Avery Trapezoid Extra Heavy Duty 4"" Binders","0.45","0","Loss"
"92","Lexmark S315 Color Inkjet Printer","0.45","34.9965","Profit"
"93","Texas Instrument TI-15 Fraction Calculator","0.45","-20.519","Loss"
"94","Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue","0.45","-11.8822","Loss"
